,St_01,St_02,St_03,St_04,St_05,St_06,St_07,St_08,St_09,St_10,St_11,St_12,St_13,St_14,St_15,St_16,St_17,St_18
115.1,207.12,212.25,207.06,210.76,210.38,209.21,221.1,215.56,205.09,206.23,204.14,204.89,215.69,217.57,215.21,208.79,209.78,
116.1,207.35,212.22,207.18,210.84,210.7,209.29,221.33,215.71,204.99,206.23,204.36,205.38,216.09,217.73,215.21,208.94,209.6,
117.1,207.56,212.14,207.29,210.9,211.04,209.33,221.51,215.84,204.89,206.21,204.53,205.82,216.41,217.83,215.16,209.04,209.36,
118.1,207.72,212,207.4,210.97,211.4,209.35,221.61,215.96,204.79,206.15,204.67,206.19,216.65,217.87,215.09,209.1,209.09,
119.1,207.81,211.82,207.5,211.04,211.74,209.33,221.64,216.07,204.68,206.08,204.79,206.5,216.83,217.87,215,209.13,208.78,
120.1,207.85,211.61,207.55,211.12,212.03,209.28,221.63,216.18,204.58,206,204.89,206.75,216.97,217.84,214.91,209.13,208.45,
121.1,207.86,211.38,207.55,211.15,212.21,209.23,221.6,216.25,204.49,205.91,204.94,206.89,217.11,217.81,214.83,209.1,208.09,
122.1,207.83,211.17,207.49,211.14,212.29,209.19,221.56,216.27,204.45,205.81,204.95,206.95,217.23,217.77,214.76,209.04,207.72,
123.1,207.78,211,207.41,211.07,212.29,209.15,221.51,216.26,204.45,205.71,204.91,206.95,217.31,217.72,214.69,208.97,207.33,
124,207.72,210.86,207.35,210.97,212.25,209.11,221.45,216.23,204.49,205.64,204.84,206.93,217.32,217.66,214.61,208.91,206.92,
125,207.64,210.73,207.31,210.84,212.21,209.06,221.37,216.23,204.55,205.59,204.76,206.89,217.28,217.62,214.51,208.88,206.51,
126,207.53,210.58,207.29,210.69,212.18,209,221.27,216.26,204.64,205.57,204.69,206.82,217.22,217.58,214.38,208.87,206.1,
127,207.38,210.41,207.26,210.51,212.14,208.94,221.15,216.3,204.76,205.58,204.63,206.73,217.14,217.55,214.23,208.86,205.69,
128,207.22,210.23,207.19,210.32,212.07,208.86,221.02,216.34,204.93,205.62,204.57,206.62,217.07,217.52,214.06,208.83,205.3,
129,207.07,210.06,207.11,210.11,211.96,208.78,220.9,216.36,205.16,205.69,204.5,206.5,216.97,217.48,213.86,208.78,204.93,
130,206.95,209.89,207.03,209.88,211.79,208.71,220.78,216.35,205.45,205.8,204.41,206.39,216.8,217.41,213.64,208.74,204.57,
131,206.84,209.73,206.96,209.63,211.56,208.63,220.68,216.32,205.79,205.97,204.33,206.28,216.53,217.33,213.39,208.7,204.24,
132,206.73,209.56,206.92,209.38,211.32,208.56,220.59,216.31,206.18,206.2,204.28,206.19,216.16,217.22,213.08,208.7,203.93,
133,206.6,209.38,206.88,209.15,211.07,208.48,220.51,216.32,206.62,206.48,204.28,206.09,215.73,217.09,212.73,208.71,203.65,
134,206.45,209.17,206.85,208.96,210.83,208.41,220.42,216.33,207.09,206.8,204.29,205.95,215.29,216.94,212.36,208.75,203.39,
135,206.27,208.94,206.79,208.79,210.59,208.34,220.33,216.32,207.6,207.16,204.31,205.8,214.85,216.75,211.97,208.77,203.16,
136,206.09,208.7,206.7,208.63,210.33,208.3,220.24,216.27,208.14,207.55,204.31,205.64,214.4,216.53,211.58,208.77,202.95,
136.9,205.94,208.48,206.58,208.48,210.03,208.28,220.16,216.19,208.7,207.97,204.3,205.51,213.9,216.26,211.2,208.77,202.76,
137.9,205.84,208.29,206.47,208.33,209.71,208.3,220.1,216.08,209.24,208.39,204.27,205.41,213.3,215.96,210.83,208.79,202.58,
138.9,205.8,208.13,206.36,208.17,209.37,208.35,220.06,215.95,209.76,208.8,204.25,205.31,212.63,215.62,210.46,208.83,202.42,
139.9,205.77,208,206.26,208,209.05,208.41,220.03,215.8,210.24,209.2,204.23,205.21,211.92,215.25,210.11,208.88,202.26,
140.9,205.72,207.89,206.13,207.84,208.8,208.48,219.98,215.64,210.68,209.57,204.21,205.11,211.28,214.87,209.78,208.92,202.11,
141.9,205.64,207.78,206,207.71,208.61,208.55,219.9,215.49,211.07,209.89,204.19,205.01,210.75,214.48,209.47,208.93,201.98,
142.9,205.57,207.69,205.85,207.61,208.43,208.62,219.8,215.32,211.39,210.15,204.15,204.9,210.28,214.06,209.2,208.91,201.85,
143.9,205.52,207.61,205.71,207.51,208.24,208.7,219.69,215.11,211.63,210.38,204.08,204.81,209.8,213.63,208.94,208.87,201.74,
